Tree ID,Planting Date,Height (m),Status,Health,spc_latin,spc_common,Borough Code,Latitude,Longitude
604234,2016-06-27,13,True,Good,Acer platanoides,Norway maple,4,40.69571803,-73.76169432
275844,2016-10-01,16,True,Good,Quercus palustris,pin oak,4,40.73641167,-73.70545623
424125,2016-11-03,5,True,Good,Zelkova serrata,Japanese zelkova,4,40.74527412,-73.89896527
336397,2016-10-16,24,True,Fair,Fraxinus pennsylvanica,green ash,3,40.60639674,-73.96270475
040383,2016-06-29,3,True,Good,Quercus macrocarpa,bur oak,4,40.72131847,-73.78454719
229031,2016-09-16,21,True,Fair,Quercus palustris,pin oak,4,40.73102759,-73.73427549
320743,2016-10-13,5,True,Good,Prunus,cherry,2,40.87432051,-73.84998686
388561,2016-10-27,15,True,Good,Gleditsia triacanthos var. inermis,honeylocust,3,40.61750261,-73.98730898
214448,2016-09-10,4,True,Good,Quercus alba,white oak,4,40.76878016,-73.76907151
486381,2016-11-28,24,True,Good,Platanus x acerifolia,London planetree,4,40.78215968,-73.81896921
109118,2016-08-01,30,True,Fair,Platanus x acerifolia,London planetree,3,40.68262039,-73.94220978
016245,2016-06-10,29,True,Good,Platanus x acerifolia,London planetree,1,40.7572492,-73.96023158
320561,2016-10-13,8,True,Good,Malus,crab apple,4,40.78034364,-73.84413796
189031,2016-08-30,9,True,Good,Cornus florida,flowering dogwood,3,40.67168127,-73.97436769
317777,2016-10-13,5,True,Good,Zelkova serrata,Japanese zelkova,4,40.71788352,-73.73758466
521970,2016-12-16,3,True,Good,Zelkova serrata,Japanese zelkova,1,40.76450921,-73.99842021
417933,2016-11-02,2,True,Fair,Ginkgo biloba,ginkgo,1,40.72439407,-73.97391269
443869,2016-11-10,11,True,Good,Quercus palustris,pin oak,5,40.57947871,-74.08540396
081479,2016-07-20,8,True,Good,Celtis occidentalis,common hackberry,5,40.62190047,-74.13485429
396960,2016-10-29,5,True,Good,Tilia cordata,littleleaf linden,2,40.82060392,-73.90790897
189968,2016-08-30,15,True,Good,Gleditsia triacanthos var. inermis,honeylocust,1,40.78686404,-73.97112083
354326,2016-10-20,17,True,Good,Platanus x acerifolia,London planetree,2,40.82715433,-73.82517969
653891,2016-08-04,10,True,Fair,Gleditsia triacanthos var. inermis,honeylocust,3,40.69794681,-73.92538227
464564,2016-11-17,4,True,Good,Prunus,cherry,2,40.88388185,-73.86248822
117640,2016-08-04,2,True,Good,Juniperus virginiana,eastern redcedar,1,40.79973209,-73.95508018
541745,2016-12-30,9,True,Good,Pyrus calleryana,Callery pear,4,40.67486744,-73.80574072
624056,2016-07-12,3,True,Good,Zelkova serrata,Japanese zelkova,4,40.71035798,-73.76512103
416667,2016-11-02,2,True,Fair,Platanus x acerifolia,London planetree,1,40.70921389,-74.00521259
345158,2016-10-18,10,True,Good,Gleditsia triacanthos var. inermis,honeylocust,4,40.77682853,-73.90643125
237941,2016-09-19,22,True,Good,Gleditsia triacanthos var. inermis,honeylocust,3,40.67796544,-74.01720666
103244,2016-07-29,20,True,Good,Quercus palustris,pin oak,1,40.72647379,-73.9833363
116260,2016-08-04,8,True,Good,Tilia americana,American linden,4,40.70612795,-73.89823405
345499,2016-10-19,4,True,Good,Gleditsia triacanthos var. inermis,honeylocust,3,40.69088598,-73.94534544
710279,2016-09-12,8,True,Good,Liquidambar styraciflua,sweetgum,3,40.67657888,-73.90899658
422872,2016-11-03,11,True,Good,Prunus,cherry,3,40.68341716,-73.88454053
211746,2016-09-09,2,True,Fair,Quercus palustris,pin oak,1,40.83939878,-73.94173134
503957,2016-12-08,32,True,Good,Quercus palustris,pin oak,5,40.55182835,-74.17260081
269505,2016-09-29,8,True,Good,Styphnolobium japonicum,Sophora,4,40.76204969,-73.87912938
237867,2016-09-19,7,True,Good,Gleditsia triacanthos var. inermis,honeylocust,4,40.66208775,-73.751708
423251,2016-11-03,10,True,Fair,Acer pseudoplatanus,sycamore maple,4,40.75577515,-73.80655899
472672,2016-11-19,5,True,Good,Zelkova serrata,Japanese zelkova,2,40.85358851,-73.90511161
310380,2016-10-11,7,True,Good,Zelkova serrata,Japanese zelkova,3,40.61907038,-73.95080936
561913,2016-05-19,17,True,Good,Gleditsia triacanthos var. inermis,honeylocust,4,40.79198907,-73.81233252
558208,2016-05-12,6,True,Good,Chamaecyparis pisifera,false cypress,4,40.67574595,-73.79560616
349623,2016-10-19,6,True,Good,Prunus cerasifera,purple-leaf plum,3,40.67833388,-73.97470326
385997,2016-10-27,2,True,Good,Acer saccharum,sugar maple,5,40.52093287,-74.23593
170948,2016-08-24,30,True,Good,Quercus velutina,black oak,4,40.72329749,-73.83726333
475015,2016-11-20,3,True,Good,Gleditsia triacanthos var. inermis,honeylocust,2,40.8649691,-73.88857573
006940,2016-05-31,6,True,Good,Quercus rubra,northern red oak,3,40.66083134,-73.98140004
516758,2016-12-14,4,True,Good,Celtis occidentalis,common hackberry,2,40.87121503,-73.82949042
566705,2016-05-26,4,True,Good,Carpinus betulus,European hornbeam,4,40.68619527,-73.72918057
721305,2016-09-23,3,True,Good,Quercus palustris,pin oak,4,40.68530409,-73.78600245
025085,2016-06-17,3,True,Good,Quercus bicolor,swamp white oak,3,40.60103327,-73.95581118
098801,2016-07-28,18,True,Good,Gleditsia triacanthos var. inermis,honeylocust,2,40.81539711,-73.89142357
353845,2016-10-20,10,True,Good,Gleditsia triacanthos var. inermis,honeylocust,5,40.60680111,-74.15932246
680506,2016-08-25,4,True,Good,Carpinus betulus,European hornbeam,4,40.7249925,-73.81991461
427885,2016-11-04,4,True,Good,Zelkova serrata,Japanese zelkova,4,40.77862159,-73.75035395
595606,2016-06-21,46,True,Good,Quercus palustris,pin oak,4,40.72505737,-73.72886651
273975,2016-10-01,4,True,Good,Metasequoia glyptostroboides,dawn redwood,4,40.75073791,-73.70727681
691878,2016-09-01,17,True,Good,Quercus phellos,willow oak,4,40.72510524,-73.81382188
074474,2016-07-17,11,True,Good,Pyrus calleryana,Callery pear,1,40.73615944,-73.98638686
185415,2016-08-29,12,True,Good,Gleditsia triacanthos var. inermis,honeylocust,2,40.84644193,-73.88769564
701534,2016-09-07,6,True,Good,Styphnolobium japonicum,Sophora,3,40.66449275,-73.91691347
434705,2016-11-05,13,True,Good,Tilia cordata,littleleaf linden,4,40.73394261,-73.87849179
301347,2016-10-09,9,False,,,,1,40.73481124,-74.00856449
017525,2016-06-11,16,True,Good,Acer platanoides,Norway maple,3,40.66777641,-73.97653172
342110,2016-10-17,18,True,Good,Platanus x acerifolia,London planetree,5,40.61858232,-74.12759866
421085,2016-11-03,16,True,Good,Quercus palustris,pin oak,4,40.73931772,-73.79005436
141122,2016-08-12,13,True,Good,Ginkgo biloba,ginkgo,3,40.6893855,-73.96869421
038502,2016-06-28,5,True,Good,Prunus,cherry,3,40.64944745,-73.97188063
